id,graduation_year,major,skills,is_mentor,bio,interests,degree,is_alumni
839,2025,Computer Science,"C++, Node.js, Python, React, Docker",False,"A Computer Science student pursuing a M.A. degree, expected graduation in 2025. Passionate about AI, machine learning, deep learning. Skilled in C++, Node.js, Python, React, Docker. Eager to engage in innovative projects in software.","AI, machine learning, deep learning",M.A.,False
840,2019,Electrical Engineering,"PLC programming, PCB design, power system analysis, circuit simulation",False,"A Electrical Engineering alumna with a M.Sc. degree, graduated in 2019. Passionate about circuit design, power systems, renewable energy, signal processing, control systems. Skilled in PLC programming, PCB design, power system analysis, circuit simulation. Eager to engage in innovative projects in electrical.","circuit design, power systems, renewable energy, signal processing, control systems",M.Sc.,True
841,2025,Nursing,"counseling, empathy training, SPSS, data visualization, clinical skills",True,"A Nursing student pursuing a M.Tech. degree, expected graduation in 2025. Passionate about cognitive therapy, mental health, neuropsychology. Skilled in counseling, empathy training, SPSS, data visualization, clinical skills. Offers mentorship and engage in innovative projects in behavioral.","cognitive therapy, mental health, neuropsychology",M.Tech.,False
842,2025,Electrical Engineering,"MATLAB, VHDL, power system analysis, circuit simulation, signal processing, PCB design",False,"A Electrical Engineering student pursuing a M.Sc. degree, expected graduation in 2025. Passionate about embedded systems, renewable energy, signal processing, control systems. Skilled in MATLAB, VHDL, power system analysis, circuit simulation, signal processing, PCB design. Eager to engage in innovative projects in electrical.","embedded systems, renewable energy, signal processing, control systems",M.Sc.,False
843,1985,Computer Science,"Node.js, AWS, data structures, Python, algorithms, TensorFlow",False,"A Computer Science alumna with a B.A. degree, graduated in 1985. Passionate about cloud computing, mobile app development, cybersecurity. Skilled in Node.js, AWS, data structures, Python, algorithms, TensorFlow. Eager to engage in innovative projects in software.","cloud computing, mobile app development, cybersecurity",B.A.,True
844,2023,Finance,"financial modeling, financial analysis, accounting, risk assessment, Excel, SQL",False,"A Finance student pursuing a M.Eng. degree, expected graduation in 2023. Passionate about corporate finance, risk management, financial modeling, investment strategies, blockchain. Skilled in financial modeling, financial analysis, accounting, risk assessment, Excel, SQL. Eager to engage in innovative projects in finance.","corporate finance, risk management, financial modeling, investment strategies, blockchain",M.Eng.,False
845,2020,Psychology,"empathy training, data visualization, SPSS, clinical skills, qualitative research",True,"A Psychology alumna with a BBA degree, graduated in 2020. Passionate about behavioral economics, neuropsychology, mental health. Skilled in empathy training, data visualization, SPSS, clinical skills, qualitative research. Offers mentorship and engage in innovative projects in behavioral.","behavioral economics, neuropsychology, mental health",BBA,True
846,2025,Computer Science,"data structures, JavaScript, TensorFlow, SQL, Docker, C++",False,"A Computer Science student pursuing a M.A. degree, expected graduation in 2025. Passionate about AI, machine learning, mobile app development, web development, DevOps. Skilled in data structures, JavaScript, TensorFlow, SQL, Docker, C++. Eager to engage in innovative projects in software.","AI, machine learning, mobile app development, web development, DevOps",M.A.,False
847,2025,Psychology,"empathy training, clinical skills, SPSS, data visualization, counseling, qualitative research",True,"A Psychology student pursuing a Ph.D. degree, expected graduation in 2025. Passionate about healthcare ethics, neuropsychology, patient care. Skilled in empathy training, clinical skills, SPSS, data visualization, counseling, qualitative research. Offers mentorship and engage in innovative projects in behavioral.","healthcare ethics, neuropsychology, patient care",Ph.D.,False
848,2024,Data Science,"Python, JavaScript, data structures, Node.js, Java",False,"A Data Science student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about data analysis, cloud computing, big data. Skilled in Python, JavaScript, data structures, Node.js, Java. Eager to engage in innovative projects in software.","data analysis, cloud computing, big data",B.Tech.,False
849,2025,Physics,"physics simulations, MATLAB, spectroscopy, lab techniques, chemical analysis",False,"A Physics student pursuing a BBA degree, expected graduation in 2025. Passionate about astrophysics, chemical kinetics, organic synthesis, quantum mechanics. Skilled in physics simulations, MATLAB, spectroscopy, lab techniques, chemical analysis. Eager to engage in innovative projects in physical.","astrophysics, chemical kinetics, organic synthesis, quantum mechanics",BBA,False
850,1982,Business Administration,"presentation skills, Excel, SEO, market analytics, CRM software",False,"A Business Administration alumna with a M.A. degree, graduated in 1982. Passionate about brand management, entrepreneurship, market research, consumer behavior, startup incubation. Skilled in presentation skills, Excel, SEO, market analytics, CRM software. Eager to engage in innovative projects in management.","brand management, entrepreneurship, market research, consumer behavior, startup incubation",M.A.,True
851,2024,Data Science,"data structures, SQL, Docker, Python, React",True,"A Data Science student pursuing a B.A. degree, expected graduation in 2024. Passionate about big data, blockchain, web development. Skilled in data structures, SQL, Docker, Python, React. Offers mentorship and engage in innovative projects in software.","big data, blockchain, web development",B.A.,False
852,1998,Biology,"data analysis, microscopy, PCR, experimental design",True,"A Biology alumna with a Ph.D. degree, graduated in 1998. Passionate about biotechnology, molecular biology, genetics. Skilled in data analysis, microscopy, PCR, experimental design. Offers mentorship and engage in innovative projects in biological.","biotechnology, molecular biology, genetics",Ph.D.,True
853,2020,Finance,"financial modeling, accounting, Excel, financial analysis",False,"A Finance alumna with a B.A. degree, graduated in 2020. Passionate about risk management, financial modeling, investment strategies. Skilled in financial modeling, accounting, Excel, financial analysis. Eager to engage in innovative projects in finance.","risk management, financial modeling, investment strategies",B.A.,True
854,2025,Civil Engineering,"structural analysis, Revit, project management, surveying",True,"A Civil Engineering student pursuing a M.Eng. degree, expected graduation in 2025. Passionate about urban planning, structural analysis, geotechnical engineering, sustainable infrastructure, water resources. Skilled in structural analysis, Revit, project management, surveying. Offers mentorship and engage in innovative projects in civil.","urban planning, structural analysis, geotechnical engineering, sustainable infrastructure, water resources",M.Eng.,False
855,2024,Civil Engineering,"project management, geotechnical modeling, AutoCAD, surveying, structural analysis, Revit",False,"A Civil Engineering student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about structural analysis, bridge design, sustainable infrastructure. Skilled in project management, geotechnical modeling, AutoCAD, surveying, structural analysis, Revit. Eager to engage in innovative projects in civil.","structural analysis, bridge design, sustainable infrastructure",B.Tech.,False
856,2009,English Literature,"content creation, proofreading, research, editing",False,"A English Literature alumna with a B.Tech. degree, graduated in 2009. Passionate about poetry, theater, publishing, literary analysis, cultural criticism. Skilled in content creation, proofreading, research, editing. Eager to engage in innovative projects in literature.","poetry, theater, publishing, literary analysis, cultural criticism",B.Tech.,True
857,2025,Marketing,"presentation skills, CRM software, market analytics, Excel, SEO",False,"A Marketing student pursuing a B.Sc. degree, expected graduation in 2025. Passionate about entrepreneurship, consumer behavior, brand management, digital marketing, market research. Skilled in presentation skills, CRM software, market analytics, Excel, SEO. Eager to engage in innovative projects in management.","entrepreneurship, consumer behavior, brand management, digital marketing, market research",B.Sc.,False
858,2013,English Literature,"public speaking, writing, editing, research, proofreading, critical thinking",False,"A English Literature alumna with a B.Tech. degree, graduated in 2013. Passionate about cultural criticism, novel studies, literary analysis, publishing. Skilled in public speaking, writing, editing, research, proofreading, critical thinking. Eager to engage in innovative projects in literature.","cultural criticism, novel studies, literary analysis, publishing",B.Tech.,True
859,2025,Mathematics,"Python, statistical analysis, numerical methods, LaTeX, calculus, R programming",True,"A Mathematics student pursuing a M.A. degree, expected graduation in 2025. Passionate about statistical modeling, cryptography, mathematical proofs. Skilled in Python, statistical analysis, numerical methods, LaTeX, calculus, R programming. Offers mentorship and engage in innovative projects in mathematical.","statistical modeling, cryptography, mathematical proofs",M.A.,False
860,2024,Chemistry,"MATLAB, chemical analysis, lab techniques, spectroscopy",False,"A Chemistry student pursuing a BBA degree, expected graduation in 2024. Passionate about organic synthesis, chemical kinetics, materials science. Skilled in MATLAB, chemical analysis, lab techniques, spectroscopy. Eager to engage in innovative projects in physical.","organic synthesis, chemical kinetics, materials science",BBA,False
861,2025,Computer Science,"Java, C++, JavaScript, Docker, TensorFlow, React",False,"A Computer Science student pursuing a M.Eng. degree, expected graduation in 2025. Passionate about mobile app development, AI, software development. Skilled in Java, C++, JavaScript, Docker, TensorFlow, React. Eager to engage in innovative projects in software.","mobile app development, AI, software development",M.Eng.,False
862,1988,Mathematics,"R programming, LaTeX, numerical methods, statistical analysis, calculus",False,"A Mathematics alumna with a MBA degree, graduated in 1988. Passionate about mathematical proofs, game theory, cryptography. Skilled in R programming, LaTeX, numerical methods, statistical analysis, calculus. Eager to engage in innovative projects in mathematical.","mathematical proofs, game theory, cryptography",MBA,True
863,2025,Data Science,"JavaScript, Docker, React, data structures, Python, Node.js",False,"A Data Science student pursuing a M.Sc. degree, expected graduation in 2025. Passionate about blockchain, AI, DevOps. Skilled in JavaScript, Docker, React, data structures, Python, Node.js. Eager to engage in innovative projects in software.","blockchain, AI, DevOps",M.Sc.,False
864,2025,Mechanical Engineering,"MATLAB, finite element analysis, thermodynamic modeling, mechanical design, CAD, SolidWorks",False,"A Mechanical Engineering student pursuing a B.A. degree, expected graduation in 2025. Passionate about 3D printing, fluid dynamics, robotics. Skilled in MATLAB, finite element analysis, thermodynamic modeling, mechanical design, CAD, SolidWorks. Eager to engage in innovative projects in mechanical.","3D printing, fluid dynamics, robotics",B.A.,False
865,1969,Electrical Engineering,"signal processing, power system analysis, VHDL, MATLAB, circuit simulation",False,"A Electrical Engineering alumna with a B.Tech. degree, graduated in 1969. Passionate about renewable energy, signal processing, power systems. Skilled in signal processing, power system analysis, VHDL, MATLAB, circuit simulation. Eager to engage in innovative projects in electrical.","renewable energy, signal processing, power systems",B.Tech.,True
866,1967,Chemical Engineering,"chemical analysis, MATLAB, lab safety, process simulation, reaction engineering",True,"A Chemical Engineering alumna with a M.Eng. degree, graduated in 1967. Passionate about sustainability, polymer science, biochemical engineering, nanotechnology, process engineering. Skilled in chemical analysis, MATLAB, lab safety, process simulation, reaction engineering. Offers mentorship and engage in innovative projects in chemical.","sustainability, polymer science, biochemical engineering, nanotechnology, process engineering",M.Eng.,True
867,2024,Finance,"accounting, financial analysis, Excel, risk assessment, financial modeling, SQL",False,"A Finance student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about investment strategies, risk management, financial modeling, corporate finance. Skilled in accounting, financial analysis, Excel, risk assessment, financial modeling, SQL. Eager to engage in innovative projects in finance.","investment strategies, risk management, financial modeling, corporate finance",B.Tech.,False
868,2021,English Literature,"proofreading, research, critical thinking, content creation",False,"A English Literature alumna with a Ph.D. degree, graduated in 2021. Passionate about novel studies, literary analysis, theater, poetry, cultural criticism. Skilled in proofreading, research, critical thinking, content creation. Eager to engage in innovative projects in literature.","novel studies, literary analysis, theater, poetry, cultural criticism",Ph.D.,True
869,2025,Chemistry,"physics simulations, spectroscopy, lab techniques, chemical analysis, MATLAB, computational modeling",False,"A Chemistry student pursuing a BBA degree, expected graduation in 2025. Passionate about thermodynamics, materials science, organic synthesis, quantum mechanics. Skilled in physics simulations, spectroscopy, lab techniques, chemical analysis, MATLAB, computational modeling. Eager to engage in innovative projects in physical.","thermodynamics, materials science, organic synthesis, quantum mechanics",BBA,False
870,2024,Computer Science,"AWS, Python, data structures, C++",False,"A Computer Science student pursuing a BBA degree, expected graduation in 2024. Passionate about data analysis, web development, cloud computing. Skilled in AWS, Python, data structures, C++. Eager to engage in innovative projects in software.","data analysis, web development, cloud computing",BBA,False
871,2025,Environmental Science,"GIS, field research, remote sensing, data analysis",False,"A Environmental Science student pursuing a B.Eng. degree, expected graduation in 2025. Passionate about ecology, conservation, renewable energy. Skilled in GIS, field research, remote sensing, data analysis. Eager to engage in innovative projects in environmental.","ecology, conservation, renewable energy",B.Eng.,False
872,1982,Data Science,"Docker, AWS, Java, SQL, Python",False,"A Data Science alumna with a B.Tech. degree, graduated in 1982. Passionate about DevOps, cybersecurity, cloud computing, big data. Skilled in Docker, AWS, Java, SQL, Python. Eager to engage in innovative projects in software.","DevOps, cybersecurity, cloud computing, big data",B.Tech.,True
873,2023,Computer Science,"data structures, AWS, TensorFlow, SQL",False,"A Computer Science student pursuing a M.Tech. degree, expected graduation in 2023. Passionate about mobile app development, deep learning, software development, cloud computing. Skilled in data structures, AWS, TensorFlow, SQL. Eager to engage in innovative projects in software.","mobile app development, deep learning, software development, cloud computing",M.Tech.,False
874,2025,Political Science,"qualitative research, survey design, policy analysis, archival research",False,"A Political Science student pursuing a B.Sc. degree, expected graduation in 2025. Passionate about public policy, archaeology, cultural studies, historical research. Skilled in qualitative research, survey design, policy analysis, archival research. Eager to engage in innovative projects in historical.","public policy, archaeology, cultural studies, historical research",B.Sc.,False
875,1988,Business Administration,"SQL, market analytics, Excel, SEO, presentation skills",True,"A Business Administration alumna with a BBA degree, graduated in 1988. Passionate about market research, consumer behavior, digital marketing, startup incubation. Skilled in SQL, market analytics, Excel, SEO, presentation skills. Offers mentorship and engage in innovative projects in management.","market research, consumer behavior, digital marketing, startup incubation",BBA,True
876,2003,Electrical Engineering,"PCB design, signal processing, circuit simulation, VHDL",False,"A Electrical Engineering alumna with a B.Eng. degree, graduated in 2003. Passionate about renewable energy, control systems, microelectronics, signal processing, power systems. Skilled in PCB design, signal processing, circuit simulation, VHDL. Eager to engage in innovative projects in electrical.","renewable energy, control systems, microelectronics, signal processing, power systems",B.Eng.,True
877,2025,Finance,"financial modeling, risk assessment, financial analysis, Excel, accounting, SQL",False,"A Finance student pursuing a BBA degree, expected graduation in 2025. Passionate about investment strategies, corporate finance, blockchain. Skilled in financial modeling, risk assessment, financial analysis, Excel, accounting, SQL. Eager to engage in innovative projects in finance.","investment strategies, corporate finance, blockchain",BBA,False
878,2024,Political Science,"archival research, qualitative research, survey design, policy analysis",False,"A Political Science student pursuing a BBA degree, expected graduation in 2024. Passionate about cultural studies, public policy, international relations. Skilled in archival research, qualitative research, survey design, policy analysis. Eager to engage in innovative projects in historical.","cultural studies, public policy, international relations",BBA,False
879,2024,Civil Engineering,"AutoCAD, geotechnical modeling, surveying, Revit, structural analysis",False,"A Civil Engineering student pursuing a B.Eng. degree, expected graduation in 2024. Passionate about structural analysis, bridge design, sustainable infrastructure, water resources. Skilled in AutoCAD, geotechnical modeling, surveying, Revit, structural analysis. Eager to engage in innovative projects in civil.","structural analysis, bridge design, sustainable infrastructure, water resources",B.Eng.,False
880,2025,Aerospace Engineering,"ANSYS, SolidWorks, thermodynamic modeling, finite element analysis",False,"A Aerospace Engineering student pursuing a M.Eng. degree, expected graduation in 2025. Passionate about 3D printing, thermodynamics, mechatronics, renewable energy. Skilled in ANSYS, SolidWorks, thermodynamic modeling, finite element analysis. Eager to engage in innovative projects in mechanical.","3D printing, thermodynamics, mechatronics, renewable energy",M.Eng.,False
881,1998,Computer Science,"Python, React, TensorFlow, data structures, AWS",False,"A Computer Science alumna with a M.Sc. degree, graduated in 1998. Passionate about mobile app development, AI, blockchain, software development, big data. Skilled in Python, React, TensorFlow, data structures, AWS. Eager to engage in innovative projects in software.","mobile app development, AI, blockchain, software development, big data",M.Sc.,True
882,2025,Electrical Engineering,"MATLAB, PCB design, power system analysis, PLC programming, VHDL, signal processing",False,"A Electrical Engineering student pursuing a MBA degree, expected graduation in 2025. Passionate about microelectronics, circuit design, signal processing, control systems, power systems. Skilled in MATLAB, PCB design, power system analysis, PLC programming, VHDL, signal processing. Eager to engage in innovative projects in electrical.","microelectronics, circuit design, signal processing, control systems, power systems",MBA,False
883,2025,Chemical Engineering,"reaction engineering, process simulation, chemical analysis, Aspen Plus, MATLAB, lab safety",False,"A Chemical Engineering student pursuing a B.Tech. degree, expected graduation in 2025. Passionate about process engineering, biochemical engineering, chemical synthesis. Skilled in reaction engineering, process simulation, chemical analysis, Aspen Plus, MATLAB, lab safety. Eager to engage in innovative projects in chemical.","process engineering, biochemical engineering, chemical synthesis",B.Tech.,False
884,2023,Physics,"chemical analysis, lab techniques, MATLAB, spectroscopy, computational modeling",False,"A Physics student pursuing a BBA degree, expected graduation in 2023. Passionate about chemical kinetics, organic synthesis, thermodynamics. Skilled in chemical analysis, lab techniques, MATLAB, spectroscopy, computational modeling. Eager to engage in innovative projects in physical.","chemical kinetics, organic synthesis, thermodynamics",BBA,False
885,1996,Environmental Science,"environmental modeling, GIS, remote sensing, data analysis, field research",True,"A Environmental Science alumna with a M.A. degree, graduated in 1996. Passionate about climate change, renewable energy, sustainability. Skilled in environmental modeling, GIS, remote sensing, data analysis, field research. Offers mentorship and engage in innovative projects in environmental.","climate change, renewable energy, sustainability",M.A.,True
886,2007,Physics,"lab techniques, chemical analysis, physics simulations, spectroscopy, computational modeling, MATLAB",False,"A Physics alumna with a M.Tech. degree, graduated in 2007. Passionate about astrophysics, materials science, thermodynamics, quantum mechanics. Skilled in lab techniques, chemical analysis, physics simulations, spectroscopy, computational modeling, MATLAB. Eager to engage in innovative projects in physical.","astrophysics, materials science, thermodynamics, quantum mechanics",M.Tech.,True
887,2024,Economics,"data analysis, econometrics, statistical modeling, policy analysis, R programming",False,"A Economics student pursuing a M.Tech. degree, expected graduation in 2024. Passionate about labor economics, public policy, behavioral economics. Skilled in data analysis, econometrics, statistical modeling, policy analysis, R programming. Eager to engage in innovative projects in economic.","labor economics, public policy, behavioral economics",M.Tech.,False
888,2024,Nursing,"counseling, data visualization, empathy training, qualitative research, clinical skills",False,"A Nursing student pursuing a Ph.D. degree, expected graduation in 2024. Passionate about healthcare ethics, behavioral economics, patient care, mental health. Skilled in counseling, data visualization, empathy training, qualitative research, clinical skills. Eager to engage in innovative projects in behavioral.","healthcare ethics, behavioral economics, patient care, mental health",Ph.D.,False
889,2025,Economics,"policy analysis, econometrics, data analysis, statistical modeling, R programming",False,"A Economics student pursuing a B.Eng. degree, expected graduation in 2025. Passionate about economic forecasting, game theory, labor economics, behavioral economics. Skilled in policy analysis, econometrics, data analysis, statistical modeling, R programming. Eager to engage in innovative projects in economic.","economic forecasting, game theory, labor economics, behavioral economics",B.Eng.,False
890,2024,Nursing,"empathy training, clinical skills, qualitative research, counseling, data visualization",False,"A Nursing student pursuing a Ph.D. degree, expected graduation in 2024. Passionate about neuropsychology, cognitive therapy, mental health. Skilled in empathy training, clinical skills, qualitative research, counseling, data visualization. Eager to engage in innovative projects in behavioral.","neuropsychology, cognitive therapy, mental health",Ph.D.,False
891,1990,Physics,"spectroscopy, lab techniques, MATLAB, chemical analysis",False,"A Physics alumna with a MBA degree, graduated in 1990. Passionate about chemical kinetics, organic synthesis, astrophysics, quantum mechanics. Skilled in spectroscopy, lab techniques, MATLAB, chemical analysis. Eager to engage in innovative projects in physical.","chemical kinetics, organic synthesis, astrophysics, quantum mechanics",MBA,True
892,2025,Biology,"PCR, microscopy, bioinformatics, lab techniques, data analysis",True,"A Biology student pursuing a M.Tech. degree, expected graduation in 2025. Passionate about biotechnology, microbiology, conservation, ecology. Skilled in PCR, microscopy, bioinformatics, lab techniques, data analysis. Offers mentorship and engage in innovative projects in biological.","biotechnology, microbiology, conservation, ecology",M.Tech.,False
893,2005,Data Science,"Node.js, TensorFlow, AWS, SQL",False,"A Data Science alumna with a M.A. degree, graduated in 2005. Passionate about cybersecurity, data analysis, web development. Skilled in Node.js, TensorFlow, AWS, SQL. Eager to engage in innovative projects in software.","cybersecurity, data analysis, web development",M.A.,True
894,2025,Political Science,"historical documentation, qualitative research, survey design, policy analysis",False,"A Political Science student pursuing a M.A. degree, expected graduation in 2025. Passionate about archaeology, public policy, historical research, cultural studies. Skilled in historical documentation, qualitative research, survey design, policy analysis. Eager to engage in innovative projects in historical.","archaeology, public policy, historical research, cultural studies",M.A.,False
895,2009,History,"survey design, historical documentation, policy analysis, archival research",False,"A History alumna with a B.Sc. degree, graduated in 2009. Passionate about cultural studies, international relations, archaeology, historical research, public policy. Skilled in survey design, historical documentation, policy analysis, archival research. Eager to engage in innovative projects in historical.","cultural studies, international relations, archaeology, historical research, public policy",B.Sc.,True
896,2025,Economics,"econometrics, statistical modeling, R programming, data analysis, policy analysis",False,"A Economics student pursuing a B.A. degree, expected graduation in 2025. Passionate about behavioral economics, public policy, economic forecasting, game theory. Skilled in econometrics, statistical modeling, R programming, data analysis, policy analysis. Eager to engage in innovative projects in economic.","behavioral economics, public policy, economic forecasting, game theory",B.A.,False
897,2025,Physics,"physics simulations, computational modeling, chemical analysis, lab techniques, spectroscopy",False,"A Physics student pursuing a Ph.D. degree, expected graduation in 2025. Passionate about materials science, organic synthesis, chemical kinetics. Skilled in physics simulations, computational modeling, chemical analysis, lab techniques, spectroscopy. Eager to engage in innovative projects in physical.","materials science, organic synthesis, chemical kinetics",Ph.D.,False
898,2023,English Literature,"critical thinking, writing, content creation, editing, proofreading, public speaking",False,"A English Literature alumna with a B.Eng. degree, graduated in 2023. Passionate about literary analysis, poetry, publishing, cultural criticism. Skilled in critical thinking, writing, content creation, editing, proofreading, public speaking. Eager to engage in innovative projects in literature.","literary analysis, poetry, publishing, cultural criticism",B.Eng.,True
899,2012,Psychology,"empathy training, qualitative research, clinical skills, SPSS, counseling, data visualization",False,"A Psychology alumna with a M.Sc. degree, graduated in 2012. Passionate about mental health, healthcare ethics, patient care. Skilled in empathy training, qualitative research, clinical skills, SPSS, counseling, data visualization. Eager to engage in innovative projects in behavioral.","mental health, healthcare ethics, patient care",M.Sc.,True
900,2024,Nursing,"clinical skills, qualitative research, empathy training, SPSS, counseling, data visualization",False,"A Nursing student pursuing a B.Tech. degree, expected graduation in 2024. Passionate about cognitive therapy, healthcare ethics, behavioral economics, mental health. Skilled in clinical skills, qualitative research, empathy training, SPSS, counseling, data visualization. Eager to engage in innovative projects in behavioral.","cognitive therapy, healthcare ethics, behavioral economics, mental health",B.Tech.,False
901,2016,Mathematics,"R programming, LaTeX, calculus, statistical analysis, numerical methods, Python",True,"A Mathematics alumna with a B.Sc. degree, graduated in 2016. Passionate about game theory, mathematical proofs, cryptography. Skilled in R programming, LaTeX, calculus, statistical analysis, numerical methods, Python. Offers mentorship and engage in innovative projects in mathematical.","game theory, mathematical proofs, cryptography",B.Sc.,True
902,2020,Psychology,"data visualization, empathy training, qualitative research, clinical skills, counseling",True,"A Psychology alumna with a BBA degree, graduated in 2020. Passionate about mental health, patient care, neuropsychology, healthcare ethics. Skilled in data visualization, empathy training, qualitative research, clinical skills, counseling. Offers mentorship and engage in innovative projects in behavioral.","mental health, patient care, neuropsychology, healthcare ethics",BBA,True
903,2014,History,"archival research, survey design, policy analysis, historical documentation, qualitative research",True,"A History alumna with a M.Eng. degree, graduated in 2014. Passionate about international relations, historical research, archaeology. Skilled in archival research, survey design, policy analysis, historical documentation, qualitative research. Offers mentorship and engage in innovative projects in historical.","international relations, historical research, archaeology",M.Eng.,True
904,2024,Physics,"computational modeling, physics simulations, lab techniques, MATLAB",False,"A Physics student pursuing a Ph.D. degree, expected graduation in 2024. Passionate about organic synthesis, materials science, chemical kinetics, quantum mechanics. Skilled in computational modeling, physics simulations, lab techniques, MATLAB. Eager to engage in innovative projects in physical.","organic synthesis, materials science, chemical kinetics, quantum mechanics",Ph.D.,False
905,2024,Nursing,"qualitative research, data visualization, empathy training, SPSS",False,"A Nursing student pursuing a BBA degree, expected graduation in 2024. Passionate about neuropsychology, cognitive therapy, behavioral economics. Skilled in qualitative research, data visualization, empathy training, SPSS. Eager to engage in innovative projects in behavioral.","neuropsychology, cognitive therapy, behavioral economics",BBA,False
906,2013,English Literature,"proofreading, editing, public speaking, content creation",False,"A English Literature alumna with a M.Tech. degree, graduated in 2013. Passionate about poetry, novel studies, theater, cultural criticism, publishing. Skilled in proofreading, editing, public speaking, content creation. Eager to engage in innovative projects in literature.","poetry, novel studies, theater, cultural criticism, publishing",M.Tech.,True
907,1996,Data Science,"AWS, Python, data structures, JavaScript, Docker, SQL",True,"A Data Science alumna with a M.Sc. degree, graduated in 1996. Passionate about AI, DevOps, data analysis. Skilled in AWS, Python, data structures, JavaScript, Docker, SQL. Offers mentorship and engage in innovative projects in software.","AI, DevOps, data analysis",M.Sc.,True
908,2017,Finance,"SQL, financial modeling, accounting, risk assessment, Excel",True,"A Finance alumna with a B.Tech. degree, graduated in 2017. Passionate about investment strategies, financial modeling, risk management. Skilled in SQL, financial modeling, accounting, risk assessment, Excel. Offers mentorship and engage in innovative projects in finance.","investment strategies, financial modeling, risk management",B.Tech.,True
909,2019,Computer Science,"React, data structures, Python, JavaScript, SQL",False,"A Computer Science alumna with a B.Sc. degree, graduated in 2019. Passionate about big data, cloud computing, web development. Skilled in React, data structures, Python, JavaScript, SQL. Eager to engage in innovative projects in software.","big data, cloud computing, web development",B.Sc.,True
910,1977,Economics,"policy analysis, econometrics, R programming, statistical modeling, data analysis",False,"A Economics alumna with a B.Tech. degree, graduated in 1977. Passionate about game theory, public policy, labor economics, behavioral economics, economic forecasting. Skilled in policy analysis, econometrics, R programming, statistical modeling, data analysis. Eager to engage in innovative projects in economic.","game theory, public policy, labor economics, behavioral economics, economic forecasting",B.Tech.,True
911,2012,Marketing,"market analytics, presentation skills, CRM software, Excel, SQL",False,"A Marketing alumna with a B.Eng. degree, graduated in 2012. Passionate about startup incubation, digital marketing, consumer behavior, market research. Skilled in market analytics, presentation skills, CRM software, Excel, SQL. Eager to engage in innovative projects in management.","startup incubation, digital marketing, consumer behavior, market research",B.Eng.,True
912,2006,Biology,"lab techniques, microscopy, PCR, data analysis, experimental design",True,"A Biology alumna with a M.Sc. degree, graduated in 2006. Passionate about conservation, microbiology, genetics. Skilled in lab techniques, microscopy, PCR, data analysis, experimental design. Offers mentorship and engage in innovative projects in biological.","conservation, microbiology, genetics",M.Sc.,True
913,2025,Nursing,"data visualization, counseling, clinical skills, SPSS, qualitative research",False,"A Nursing student pursuing a Ph.D. degree, expected graduation in 2025. Passionate about cognitive therapy, mental health, behavioral economics, healthcare ethics, neuropsychology. Skilled in data visualization, counseling, clinical skills, SPSS, qualitative research. Eager to engage in innovative projects in behavioral.","cognitive therapy, mental health, behavioral economics, healthcare ethics, neuropsychology",Ph.D.,False
914,2020,Mathematics,"calculus, numerical methods, R programming, Python, statistical analysis, LaTeX",False,"A Mathematics alumna with a M.Tech. degree, graduated in 2020. Passionate about game theory, mathematical proofs, statistical modeling, cryptography. Skilled in calculus, numerical methods, R programming, Python, statistical analysis, LaTeX. Eager to engage in innovative projects in mathematical.","game theory, mathematical proofs, statistical modeling, cryptography",M.Tech.,True
915,2024,History,"survey design, archival research, historical documentation, qualitative research, policy analysis",False,"A History student pursuing a M.Sc. degree, expected graduation in 2024. Passionate about cultural studies, public policy, historical research, international relations, archaeology. Skilled in survey design, archival research, historical documentation, qualitative research, policy analysis. Eager to engage in innovative projects in historical.","cultural studies, public policy, historical research, international relations, archaeology",M.Sc.,False
916,1978,Data Science,"algorithms, JavaScript, data structures, Node.js, C++, React",True,"A Data Science alumna with a MBA degree, graduated in 1978. Passionate about software development, data analysis, deep learning. Skilled in algorithms, JavaScript, data structures, Node.js, C++, React. Offers mentorship and engage in innovative projects in software.","software development, data analysis, deep learning",MBA,True
917,2023,Physics,"lab techniques, MATLAB, physics simulations, computational modeling, chemical analysis, spectroscopy",False,"A Physics alumna with a M.Tech. degree, graduated in 2023. Passionate about organic synthesis, thermodynamics, astrophysics, chemical kinetics, materials science. Skilled in lab techniques, MATLAB, physics simulations, computational modeling, chemical analysis, spectroscopy. Eager to engage in innovative projects in physical.","organic synthesis, thermodynamics, astrophysics, chemical kinetics, materials science",M.Tech.,True
918,1991,Nursing,"empathy training, data visualization, SPSS, qualitative research, clinical skills",False,"A Nursing alumna with a M.Tech. degree, graduated in 1991. Passionate about behavioral economics, patient care, mental health, cognitive therapy, neuropsychology. Skilled in empathy training, data visualization, SPSS, qualitative research, clinical skills. Eager to engage in innovative projects in behavioral.","behavioral economics, patient care, mental health, cognitive therapy, neuropsychology",M.Tech.,True
919,2023,English Literature,"editing, writing, research, proofreading, critical thinking",False,"A English Literature student pursuing a Ph.D. degree, expected graduation in 2023. Passionate about publishing, poetry, theater. Skilled in editing, writing, research, proofreading, critical thinking. Eager to engage in innovative projects in literature.","publishing, poetry, theater",Ph.D.,False
